symbol,date,price
Policy Documents,Jan 2008,0
Policy Documents,Feb 2008,0
Policy Documents,Mar 2008,0
Policy Documents,Apr 2008,0
Policy Documents,May 2008,0
Policy Documents,Jun 2008,0
Policy Documents,Jul 2008,0
Policy Documents,Aug 2008,0
Policy Documents,Sep 2008,0
Policy Documents,Oct 2008,0
Policy Documents,Nov 2008,0
Policy Documents,Dec 2008,0
Policy Documents,Jan 2009,0
Policy Documents,Feb 2009,0
Policy Documents,Mar 2009,0
Policy Documents,Apr 2009,0
Policy Documents,May 2009,0
Policy Documents,Jun 2009,0
Policy Documents,Jul 2009,0
Policy Documents,Aug 2009,0
Policy Documents,Sep 2009,0
Policy Documents,Oct 2009,0
Policy Documents,Nov 2009,36
Policy Documents,Dec 2009,10
Policy Documents,Jan 2010,46
Policy Documents,Feb 2010,31
Policy Documents,Mar 2010,49
Policy Documents,Apr 2010,29
Policy Documents,May 2010,37
Policy Documents,Jun 2010,58
Policy Documents,Jul 2010,81
Policy Documents,Aug 2010,81
Policy Documents,Sep 2010,220
Policy Documents,Oct 2010,197
Policy Documents,Nov 2010,324
Policy Documents,Dec 2010,243
Policy Documents,Jan 2011,219
Policy Documents,Feb 2011,253
Policy Documents,Mar 2011,344
Policy Documents,Apr 2011,493
Policy Documents,May 2011,636
Policy Documents,Jun 2011,0
Policy Documents,Jul 2011,1517
Policy Documents,Aug 2011,2264
Policy Documents,Sep 2011,3893
Policy Documents,Oct 2011,1085
Policy Documents,Nov 2011,70
Policy Documents,Dec 2011,25
Premium Statement,Jan 2008,64
Premium Statement,Feb 2008,47
Premium Statement,Mar 2008,59
Premium Statement,Apr 2008,55
Premium Statement,May 2008,143
Premium Statement,Jun 2008,199
Premium Statement,Jul 2008,202
Premium Statement,Aug 2008,175
Premium Statement,Sep 2008,162
Premium Statement,Oct 2008,145
Premium Statement,Nov 2008,108
Premium Statement,Dec 2008,174
Premium Statement,Jan 2009,192
Premium Statement,Feb 2009,187
Premium Statement,Mar 2009,185
Premium Statement,Apr 2009,159
Premium Statement,May 2009,183
Premium Statement,Jun 2009,187
Premium Statement,Jul 2009,160
Premium Statement,Aug 2009,162
Premium Statement,Sep 2009,173
Premium Statement,Oct 2009,189
Premium Statement,Nov 2009,352
Premium Statement,Dec 2009,133
Premium Statement,Jan 2010,166
Premium Statement,Feb 2010,208
Premium Statement,Mar 2010,180
Premium Statement,Apr 2010,178
Premium Statement,May 2010,167
Premium Statement,Jun 2010,125
Premium Statement,Jul 2010,156
Premium Statement,Aug 2010,156
Premium Statement,Sep 2010,205
Premium Statement,Oct 2010,113
Premium Statement,Nov 2010,159
Premium Statement,Dec 2010,145
Premium Statement,Jan 2011,220
Premium Statement,Feb 2011,239
Premium Statement,Mar 2011,508
Premium Statement,Apr 2011,164
Premium Statement,May 2011,297
Premium Statement,Jun 2011,567
Premium Statement,Jul 2011,322
Premium Statement,Aug 2011,318
Premium Statement,Sep 2011,427
Premium Statement,Oct 2011,677
Premium Statement,Nov 2011,536
Premium Statement,Dec 2011,261
EE Add,Jan 2008,104
EE Add,Feb 2008,85
EE Add,Mar 2008,25
EE Add,Apr 2008,30
EE Add,May 2008,101
EE Add,Jun 2008,129
EE Add,Jul 2008,104
EE Add,Aug 2008,122
EE Add,Sep 2008,122
EE Add,Oct 2008,62
EE Add,Nov 2008,44
EE Add,Dec 2008,61
EE Add,Jan 2009,52
EE Add,Feb 2009,46
EE Add,Mar 2009,44
EE Add,Apr 2009,50
EE Add,May 2009,47
EE Add,Jun 2009,64
EE Add,Jul 2009,57
EE Add,Aug 2009,41
EE Add,Sep 2009,45
EE Add,Oct 2009,53
EE Add,Nov 2009,101
EE Add,Dec 2009,44
EE Add,Jan 2010,37
EE Add,Feb 2010,36
EE Add,Mar 2010,35
EE Add,Apr 2010,31
EE Add,May 2010,23
EE Add,Jun 2010,35
EE Add,Jul 2010,41
EE Add,Aug 2010,41
EE Add,Sep 2010,40
EE Add,Oct 2010,47
EE Add,Nov 2010,40
EE Add,Dec 2010,41
EE Add,Jan 2011,48
EE Add,Feb 2011,40
EE Add,Mar 2011,131
EE Add,Apr 2011,55
EE Add,May 2011,80
EE Add,Jun 2011,324
EE Add,Jul 2011,183
EE Add,Aug 2011,213
EE Add,Sep 2011,332
EE Add,Oct 2011,594
EE Add,Nov 2011,262
EE Add,Dec 2011,121
EE Changes,Jan 2008,947
EE Changes,Feb 2008,306
EE Changes,Mar 2008,75
EE Changes,Apr 2008,146
EE Changes,May 2008,348
EE Changes,Jun 2008,459
EE Changes,Jul 2008,561
EE Changes,Aug 2008,452
EE Changes,Sep 2008,494
EE Changes,Oct 2008,177
EE Changes,Nov 2008,87
EE Changes,Dec 2008,94
EE Changes,Jan 2009,116
EE Changes,Feb 2009,109
EE Changes,Mar 2009,108
EE Changes,Apr 2009,79
EE Changes,May 2009,107
EE Changes,Jun 2009,162
EE Changes,Jul 2009,116
EE Changes,Aug 2009,73
EE Changes,Sep 2009,76
EE Changes,Oct 2009,123
EE Changes,Nov 2009,276
EE Changes,Dec 2009,51
EE Changes,Jan 2010,72
EE Changes,Feb 2010,60
EE Changes,Mar 2010,43
EE Changes,Apr 2010,58
EE Changes,May 2010,58
EE Changes,Jun 2010,53
EE Changes,Jul 2010,43
EE Changes,Aug 2010,43
EE Changes,Sep 2010,58
EE Changes,Oct 2010,59
EE Changes,Nov 2010,53
EE Changes,Dec 2010,47
EE Changes,Jan 2011,86
EE Changes,Feb 2011,88
EE Changes,Mar 2011,206
EE Changes,Apr 2011,59
EE Changes,May 2011,164
EE Changes,Jun 2011,508
EE Changes,Jul 2011,241
EE Changes,Aug 2011,297
EE Changes,Sep 2011,452
EE Changes,Oct 2011,768
EE Changes,Nov 2011,2845
EE Changes,Dec 2011,104
MY Forms,Jan 2008,46
MY Forms,Feb 2008,60
MY Forms,Mar 2008,25
MY Forms,Apr 2008,61
MY Forms,May 2008,100
MY Forms,Jun 2008,77
MY Forms,Jul 2008,115
MY Forms,Aug 2008,27
MY Forms,Sep 2008,73
MY Forms,Oct 2008,53
MY Forms,Nov 2008,71
MY Forms,Dec 2008,182
MY Forms,Jan 2009,257
MY Forms,Feb 2009,309
MY Forms,Mar 2009,117
MY Forms,Apr 2009,40
MY Forms,May 2009,12
MY Forms,Jun 2009,20
MY Forms,Jul 2009,9
MY Forms,Aug 2009,23
MY Forms,Sep 2009,26
MY Forms,Oct 2009,60
MY Forms,Nov 2009,18
MY Forms,Dec 2009,27
MY Forms,Jan 2010,17
MY Forms,Feb 2010,37
MY Forms,Mar 2010,9
MY Forms,Apr 2010,302
MY Forms,May 2010,52
MY Forms,Jun 2010,54
MY Forms,Jul 2010,73
MY Forms,Aug 2010,73
MY Forms,Sep 2010,257
MY Forms,Oct 2010,28
MY Forms,Nov 2010,45
MY Forms,Dec 2010,36
MY Forms,Jan 2011,34
MY Forms,Feb 2011,28
MY Forms,Mar 2011,38
MY Forms,Apr 2011,30
MY Forms,May 2011,60
MY Forms,Jun 2011,61
MY Forms,Jul 2011,69
MY Forms,Aug 2011,66
MY Forms,Sep 2011,124
MY Forms,Oct 2011,210
MY Forms,Nov 2011,90
MY Forms,Dec 2011,75
Eof I Reporting,Jan 2008,197
Eof I Reporting,Feb 2008,125
Eof I Reporting,Mar 2008,91
Eof I Reporting,Apr 2008,60
Eof I Reporting,May 2008,123
Eof I Reporting,Jun 2008,83
Eof I Reporting,Jul 2008,102
Eof I Reporting,Aug 2008,70
Eof I Reporting,Sep 2008,111
Eof I Reporting,Oct 2008,43
Eof I Reporting,Nov 2008,72
Eof I Reporting,Dec 2008,70
Eof I Reporting,Jan 2009,193
Eof I Reporting,Feb 2009,271
Eof I Reporting,Mar 2009,227
Eof I Reporting,Apr 2009,180
Eof I Reporting,May 2009,140
Eof I Reporting,Jun 2009,120
Eof I Reporting,Jul 2009,132
Eof I Reporting,Aug 2009,141
Eof I Reporting,Sep 2009,115
Eof I Reporting,Oct 2009,163
Eof I Reporting,Nov 2009,410
Eof I Reporting,Dec 2009,175
Eof I Reporting,Jan 2010,236
Eof I Reporting,Feb 2010,156
Eof I Reporting,Mar 2010,153
Eof I Reporting,Apr 2010,377
Eof I Reporting,May 2010,105
Eof I Reporting,Jun 2010,102
Eof I Reporting,Jul 2010,100
Eof I Reporting,Aug 2010,100
Eof I Reporting,Sep 2010,123
Eof I Reporting,Oct 2010,99
Eof I Reporting,Nov 2010,145
Eof I Reporting,Dec 2010,116
Eof I Reporting,Jan 2011,224
Eof I Reporting,Feb 2011,148
Eof I Reporting,Mar 2011,177
Eof I Reporting,Apr 2011,134
Eof I Reporting,May 2011,133
Eof I Reporting,Jun 2011,220
Eof I Reporting,Jul 2011,165
Eof I Reporting,Aug 2011,184
Eof I Reporting,Sep 2011,243
Eof I Reporting,Oct 2011,337
Eof I Reporting,Nov 2011,153
Eof I Reporting,Dec 2011,142
ER Claims Status,Jan 2008,195
ER Claims Status,Feb 2008,704
ER Claims Status,Mar 2008,762
ER Claims Status,Apr 2008,862
ER Claims Status,May 2008,833
ER Claims Status,Jun 2008,850
ER Claims Status,Jul 2008,1137
ER Claims Status,Aug 2008,493
ER Claims Status,Sep 2008,193
ER Claims Status,Oct 2008,199
ER Claims Status,Nov 2008,193
ER Claims Status,Dec 2008,218
ER Claims Status,Jan 2009,248
ER Claims Status,Feb 2009,474
ER Claims Status,Mar 2009,970
ER Claims Status,Apr 2009,1053
ER Claims Status,May 2009,456
ER Claims Status,Jun 2009,101
ER Claims Status,Jul 2009,99
ER Claims Status,Aug 2009,115
ER Claims Status,Sep 2009,102
ER Claims Status,Oct 2009,226
ER Claims Status,Nov 2009,146
ER Claims Status,Dec 2009,101
ER Claims Status,Jan 2010,119
ER Claims Status,Feb 2010,142
ER Claims Status,Mar 2010,160
ER Claims Status,Apr 2010,239
ER Claims Status,May 2010,127
ER Claims Status,Jun 2010,143
ER Claims Status,Jul 2010,141
ER Claims Status,Aug 2010,141
ER Claims Status,Sep 2010,183
ER Claims Status,Oct 2010,132
ER Claims Status,Nov 2010,112
ER Claims Status,Dec 2010,103
ER Claims Status,Jan 2011,279
ER Claims Status,Feb 2011,122
ER Claims Status,Mar 2011,191
ER Claims Status,Apr 2011,154
ER Claims Status,May 2011,213
ER Claims Status,Jun 2011,163
ER Claims Status,Jul 2011,369
ER Claims Status,Aug 2011,188
ER Claims Status,Sep 2011,110
ER Claims Status,Oct 2011,405
ER Claims Status,Nov 2011,435
ER Claims Status,Dec 2011,160
Tax Reporting,Jan 2008,0
Tax Reporting,Feb 2008,0
Tax Reporting,Mar 2008,0
Tax Reporting,Apr 2008,0
Tax Reporting,May 2008,0
Tax Reporting,Jun 2008,0
Tax Reporting,Jul 2008,0
Tax Reporting,Aug 2008,0
Tax Reporting,Sep 2008,0
Tax Reporting,Oct 2008,0
Tax Reporting,Nov 2008,0
Tax Reporting,Dec 2008,0
Tax Reporting,Jan 2009,11
Tax Reporting,Feb 2009,22
Tax Reporting,Mar 2009,14
Tax Reporting,Apr 2009,10
Tax Reporting,May 2009,26
Tax Reporting,Jun 2009,33
Tax Reporting,Jul 2009,11
Tax Reporting,Aug 2009,0
Tax Reporting,Sep 2009,0
Tax Reporting,Oct 2009,9
Tax Reporting,Nov 2009,20
Tax Reporting,Dec 2009,8
Tax Reporting,Jan 2010,3037
Tax Reporting,Feb 2010,30
Tax Reporting,Mar 2010,38
Tax Reporting,Apr 2010,45
Tax Reporting,May 2010,8
Tax Reporting,Jun 2010,9
Tax Reporting,Jul 2010,33
Tax Reporting,Aug 2010,33
Tax Reporting,Sep 2010,13
Tax Reporting,Oct 2010,77
Tax Reporting,Nov 2010,73
Tax Reporting,Dec 2010,90
Tax Reporting,Jan 2011,999
Tax Reporting,Feb 2011,25
Tax Reporting,Mar 2011,19
Tax Reporting,Apr 2011,116
Tax Reporting,May 2011,0
Tax Reporting,Jun 2011,0
Tax Reporting,Jul 2011,60
Tax Reporting,Aug 2011,0
Tax Reporting,Sep 2011,0
Tax Reporting,Oct 2011,52
Tax Reporting,Nov 2011,0
Tax Reporting,Dec 2011,41
SU Statement Summary,Jan 2008,0
SU Statement Summary,Feb 2008,16
SU Statement Summary,Mar 2008,17
SU Statement Summary,Apr 2008,9
SU Statement Summary,May 2008,0
SU Statement Summary,Jun 2008,20
SU Statement Summary,Jul 2008,11
SU Statement Summary,Aug 2008,19
SU Statement Summary,Sep 2008,31
SU Statement Summary,Oct 2008,26
SU Statement Summary,Nov 2008,23
SU Statement Summary,Dec 2008,31
SU Statement Summary,Jan 2009,35
SU Statement Summary,Feb 2009,26
SU Statement Summary,Mar 2009,27
SU Statement Summary,Apr 2009,82
SU Statement Summary,May 2009,34
SU Statement Summary,Jun 2009,67
SU Statement Summary,Jul 2009,61
SU Statement Summary,Aug 2009,68
SU Statement Summary,Sep 2009,89
SU Statement Summary,Oct 2009,114
SU Statement Summary,Nov 2009,141
SU Statement Summary,Dec 2009,49
SU Statement Summary,Jan 2010,360
SU Statement Summary,Feb 2010,82
SU Statement Summary,Mar 2010,167
SU Statement Summary,Apr 2010,109
SU Statement Summary,May 2010,242
SU Statement Summary,Jun 2010,78
SU Statement Summary,Jul 2010,174
SU Statement Summary,Aug 2010,174
SU Statement Summary,Sep 2010,39
SU Statement Summary,Oct 2010,12
SU Statement Summary,Nov 2010,57
SU Statement Summary,Dec 2010,48
SU Statement Summary,Jan 2011,109
SU Statement Summary,Feb 2011,77
SU Statement Summary,Mar 2011,132
SU Statement Summary,Apr 2011,50
SU Statement Summary,May 2011,105
SU Statement Summary,Jun 2011,151
SU Statement Summary,Jul 2011,114
SU Statement Summary,Aug 2011,289
SU Statement Summary,Sep 2011,936
SU Statement Summary,Oct 2011,678
SU Statement Summary,Nov 2011,455
SU Statement Summary,Dec 2011,284
SU EE Add,Jan 2008,0
SU EE Add,Feb 2008,0
SU EE Add,Mar 2008,0
SU EE Add,Apr 2008,0
SU EE Add,May 2008,0
SU EE Add,Jun 2008,17
SU EE Add,Jul 2008,19
SU EE Add,Aug 2008,0
SU EE Add,Sep 2008,0
SU EE Add,Oct 2008,0
SU EE Add,Nov 2008,0
SU EE Add,Dec 2008,0
SU EE Add,Jan 2009,34
SU EE Add,Feb 2009,16
SU EE Add,Mar 2009,12
SU EE Add,Apr 2009,10
SU EE Add,May 2009,34
SU EE Add,Jun 2009,28
SU EE Add,Jul 2009,14
SU EE Add,Aug 2009,31
SU EE Add,Sep 2009,35
SU EE Add,Oct 2009,106
SU EE Add,Nov 2009,71
SU EE Add,Dec 2009,197
SU EE Add,Jan 2010,120
SU EE Add,Feb 2010,79
SU EE Add,Mar 2010,94
SU EE Add,Apr 2010,110
SU EE Add,May 2010,105
SU EE Add,Jun 2010,142
SU EE Add,Jul 2010,247
SU EE Add,Aug 2010,247
SU EE Add,Sep 2010,256
SU EE Add,Oct 2010,255
SU EE Add,Nov 2010,269
SU EE Add,Dec 2010,242
SU EE Add,Jan 2011,290
SU EE Add,Feb 2011,215
SU EE Add,Mar 2011,154
SU EE Add,Apr 2011,161
SU EE Add,May 2011,160
SU EE Add,Jun 2011,329
SU EE Add,Jul 2011,273
SU EE Add,Aug 2011,329
SU EE Add,Sep 2011,641
SU EE Add,Oct 2011,809
SU EE Add,Nov 2011,423
SU EE Add,Dec 2011,172
SU EE Change,Jan 2008,20
SU EE Change,Feb 2008,8
SU EE Change,Mar 2008,6
SU EE Change,Apr 2008,19
SU EE Change,May 2008,18
SU EE Change,Jun 2008,26
SU EE Change,Jul 2008,20
SU EE Change,Aug 2008,36
SU EE Change,Sep 2008,66
SU EE Change,Oct 2008,52
SU EE Change,Nov 2008,48
SU EE Change,Dec 2008,75
SU EE Change,Jan 2009,205
SU EE Change,Feb 2009,132
SU EE Change,Mar 2009,189
SU EE Change,Apr 2009,201
SU EE Change,May 2009,187
SU EE Change,Jun 2009,200
SU EE Change,Jul 2009,210
SU EE Change,Aug 2009,237
SU EE Change,Sep 2009,550
SU EE Change,Oct 2009,385
SU EE Change,Nov 2009,256
SU EE Change,Dec 2009,298
SU EE Change,Jan 2010,458
SU EE Change,Feb 2010,408
SU EE Change,Mar 2010,355
SU EE Change,Apr 2010,756
SU EE Change,May 2010,404
SU EE Change,Jun 2010,369
SU EE Change,Jul 2010,515
SU EE Change,Aug 2010,515
SU EE Change,Sep 2010,409
SU EE Change,Oct 2010,456
SU EE Change,Nov 2010,674
SU EE Change,Dec 2010,528
SU EE Change,Jan 2011,929
SU EE Change,Feb 2011,791
SU EE Change,Mar 2011,1352
SU EE Change,Apr 2011,857
SU EE Change,May 2011,1010
SU EE Change,Jun 2011,864
SU EE Change,Jul 2011,825
SU EE Change,Aug 2011,1570
SU EE Change,Sep 2011,977
SU EE Change,Oct 2011,891
SU EE Change,Nov 2011,796
SU EE Change,Dec 2011,380
SU Case Setup,Jan 2008,0
SU Case Setup,Feb 2008,0
SU Case Setup,Mar 2008,0
SU Case Setup,Apr 2008,0
SU Case Setup,May 2008,0
SU Case Setup,Jun 2008,0
SU Case Setup,Jul 2008,0
SU Case Setup,Aug 2008,0
SU Case Setup,Sep 2008,8
SU Case Setup,Oct 2008,0
SU Case Setup,Nov 2008,5
SU Case Setup,Dec 2008,12
SU Case Setup,Jan 2009,12
SU Case Setup,Feb 2009,0
SU Case Setup,Mar 2009,9
SU Case Setup,Apr 2009,12
SU Case Setup,May 2009,30
SU Case Setup,Jun 2009,0
SU Case Setup,Jul 2009,10
SU Case Setup,Aug 2009,0
SU Case Setup,Sep 2009,8
SU Case Setup,Oct 2009,65
SU Case Setup,Nov 2009,25
